,players,player_href,player_id,Birthday,Number,transfer_hrefs,transfer_years,transfer_club_ids,current_mv,max_mv,main_position,nationality,other_positions
0,Oliver Christensen,/oliver-christensen/profil/spieler/471936,471936,"Mar 22, 1999 (24)",1,"['/odense-boldklub/transfers/verein/173/saison_id/2021', '/odense-boldklub-u19/transfers/verein/14364/saison_id/2017', '/odense-boldklub-youth/transfers/verein/10598/saison_id/2016']","['2021', '2017', '2016']","['44', '173', '14364', '10598']","
                €4.00m                ",€4.50m,['Goalkeeper'],['Denmark'],
1,Tjark Ernst,/tjark-ernst/profil/spieler/553282,553282,"Mar 15, 2003 (20)",12,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2022', '/vfl-bochum-u19/transfers/verein/3862/saison_id/2022', '/vfl-bochum-u17/transfers/verein/21085/saison_id/2020', '/vfl-bochum-youth/transfers/verein/11894/saison_id/2018', '/djk-arminia-bochum-youth/transfers/verein/23770/saison_id/2011', '/tsg-niederdorfelden-jugend/transfers/verein/97175/saison_id/2008']","['2022', '2022', '2020', '2018', '2011', '2008']","['44', '45', '3862', '21085', '11894', '23770', '97175']","
                €400k                ",€400k,['Goalkeeper'],['Germany'],
2,Rune Jarstein,/rune-jarstein/profil/spieler/24112,24112,"Sep 29, 1984 (38)",22,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/viking-fk/transfers/verein/239/saison_id/2013', '/rosenborg-bk/transfers/verein/195/saison_id/2009', '/odds-bk/transfers/verein/1058/saison_id/2007', '/odds-bk-youth/transfers/verein/15686/saison_id/2001']","['2023', '2013', '2009', '2007', '2001']","['44', '44', '239', '195', '1058', '15686']","
                €300k                ",€2.50m,['Goalkeeper'],['Norway'],
3,Marc Oliver Kempf,/marc-oliver-kempf/profil/spieler/160938,160938,"Jan 28, 1995 (28)",20,"['/vfb-stuttgart/transfers/verein/79/saison_id/2021', '/sc-freiburg/transfers/verein/60/saison_id/2018', '/eintracht-frankfurt/transfers/verein/24/saison_id/2014', '/eintracht-frankfurt-u17/transfers/verein/21057/saison_id/2012', '/eintracht-frankfurt-youth/transfers/verein/12016/saison_id/2010', '/spvgg-08-bad-nauheim-youth/transfers/verein/46722/saison_id/2007', '/sv-1919-bruchenbrucken-youth/transfers/verein/44808/saison_id/2006', '/tsv-1906-dorn-assenheim-youth/transfers/verein/46724/saison_id/2005']","['2021', '2018', '2014', '2012', '2010', '2007', '2006', '2005']","['44', '79', '60', '24', '21057', '12016', '46722', '44808', '46724']","
                €3.50m                ",€8.00m,['Centre-Back'],['Germany'],"['Defensive Midfield', 'Left-Back']"
4,Márton Dárdai,/marton-dardai/profil/spieler/432281,432281,"Feb 12, 2002 (21)",31,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2020', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2019', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2019', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2017', '/1-fc-wilmersdorf-youth/transfers/verein/65587/saison_id/2012']","['2020', '2019', '2019', '2017', '2012']","['44', '45', '2827', '21066', '11844', '65587']","
                €3.50m                ",€6.00m,['Centre-Back'],"['Germany', 'Hungary']",['Defensive Midfield']
5,Filip Uremovic,/filip-uremovic/profil/spieler/325887,325887,"Feb 11, 1997 (26)",5,"['/rubin-kazan/transfers/verein/2698/saison_id/2022', '/sheffield-united/transfers/verein/350/saison_id/2021', '/rubin-kazan/transfers/verein/2698/saison_id/2021', '/nk-olimpija-ljubljana/transfers/verein/4772/saison_id/2018', '/gnk-dinamo-zagreb/transfers/verein/419/saison_id/2017', '/hnk-cibalia-vinkovci/transfers/verein/314/saison_id/2016', '/gnk-dinamo-zagreb/transfers/verein/419/saison_id/2016', '/hnk-cibalia-vinkovci/transfers/verein/314/saison_id/2016', '/hnk-cibalia-vinkovci-u19/transfers/verein/14461/saison_id/2015', '/hnk-cibalia-vinkovci-u17/transfers/verein/36343/saison_id/2014', '/unknown/transfers/verein/75/saison_id/2013']","['2022', '2021', '2021', '2018', '2017', '2016', '2016', '2016', '2015', '2014', '2013']","['44', '2698', '350', '2698', '4772', '419', '314', '419', '314', '14461', '36343', '75']","
                €2.00m                ",€7.00m,['Centre-Back'],['Croatia'],['Right-Back']
6,Agustín Rogel,/agustin-rogel/profil/spieler/456535,456535,"Oct 17, 1997 (25)",3,"['/club-estudiantes-de-la-plata/transfers/verein/288/saison_id/2022', '/fc-toulouse/transfers/verein/415/saison_id/2021', '/club-estudiantes-de-la-plata/transfers/verein/288/saison_id/2021', '/fc-toulouse/transfers/verein/415/saison_id/2020', '/krylya-sovetov-samara/transfers/verein/2696/saison_id/2019', '/club-nacional/transfers/verein/866/saison_id/2018', '/club-nacional-u19/transfers/verein/16560/saison_id/2016']","['2022', '2021', '2021', '2020', '2019', '2018', '2016']","['44', '288', '415', '288', '415', '2696', '866', '16560']","
                €1.50m                ",€4.50m,['Centre-Back'],"['Uruguay', 'Italy']",
7,Maximilian Mittelstädt,/maximilian-mittelstadt/profil/spieler/282660,282660,"Mar 18, 1997 (26)",17,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2015', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2014', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2013', '/fc-hertha-03-zehlendorf-youth/transfers/verein/39378/saison_id/2012', '/sc-staaken-1919-youth/transfers/verein/59714/saison_id/2010']","['2023', '2015', '2014', '2013', '2012', '2010']","['44', '44', '2827', '21066', '11844', '39378', '59714']","
                €2.00m                ",€14.00m,['Left-Back'],['Germany'],"['Left Midfield', 'Left Winger']"
8,Marvin Plattenhardt,/marvin-plattenhardt/profil/spieler/89592,89592,"Jan 26, 1992 (31)",21,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/1-fc-nuremberg/transfers/verein/4/saison_id/2014', '/1-fc-nuremberg-ii/transfers/verein/473/saison_id/2010', '/1-fc-nurnberg-u19/transfers/verein/2613/saison_id/2010', '/1-fc-nurnberg-u17/transfers/verein/21049/saison_id/2009', '/ssv-reutlingen-05-u17/transfers/verein/20936/saison_id/2008', '/ssv-reutlingen-05-youth/transfers/verein/33728/saison_id/2007', '/fv-09-nurtingen-youth/transfers/verein/66071/saison_id/2006', '/1-fc-frickenhausen-youth/transfers/verein/55742/saison_id/2005']","['2023', '2014', '2010', '2010', '2009', '2008', '2007', '2006', '2005']","['44', '44', '4', '473', '2613', '21049', '20936', '33728', '66071', '55742']","
                €1.00m                ",€17.00m,['Left-Back'],['Germany'],['Left Midfield']
9,Lukas Ullrich,/lukas-ullrich/profil/spieler/787151,787151,"Mar 16, 2004 (19)",26,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2023', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2022', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2021', '/hertha-bsc-u16/transfers/verein/42338/saison_id/2020', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2019']","['2023', '2022', '2021', '2020', '2019']","['44', '45', '2827', '21066', '42338', '11844']","
                €750k                ",€750k,['Left-Back'],['Germany'],"['Left Midfield', 'Left Winger']"
10,Jonjoe Kenny,/jonjoe-kenny/profil/spieler/258883,258883,"Mar 15, 1997 (26)",16,"['/everton-fc/transfers/verein/29/saison_id/2022', '/celtic-fc/transfers/verein/371/saison_id/2020', '/everton-fc/transfers/verein/29/saison_id/2020', '/fc-schalke-04/transfers/verein/33/saison_id/2019', '/everton-fc/transfers/verein/29/saison_id/2019', '/everton-fc-u21/transfers/verein/9261/saison_id/2017', '/oxford-united/transfers/verein/988/saison_id/2015', '/everton-fc-u21/transfers/verein/9261/saison_id/2015', '/wigan-athletic/transfers/verein/1071/saison_id/2015', '/everton-fc-u21/transfers/verein/9261/saison_id/2015', '/everton-fc-u18/transfers/verein/6920/saison_id/2014', '/everton-fc-youth/transfers/verein/50769/saison_id/2013']","['2022', '2020', '2020', '2019', '2019', '2017', '2015', '2015', '2015', '2015', '2014', '2013']","['44', '29', '371', '29', '33', '29', '9261', '988', '9261', '1071', '9261', '6920', '50769']","
                €3.00m                ",€12.00m,['Right-Back'],['England'],"['Right Midfield', 'Left-Back']"
11,Peter Pekarik,/peter-pekarik/profil/spieler/51100,51100,"Oct 30, 1986 (36)",2,"['/vfl-wolfsburg/transfers/verein/82/saison_id/2012', '/kayserispor/transfers/verein/3205/saison_id/2011', '/vfl-wolfsburg/transfers/verein/82/saison_id/2011', '/msk-zilina/transfers/verein/1443/saison_id/2008', '/fk-dubnica-nad-vahom/transfers/verein/7392/saison_id/2005', '/fk-dubnica-u19/transfers/verein/24519/saison_id/2004']","['2012', '2011', '2011', '2008', '2005', '2004']","['44', '82', '3205', '82', '1443', '7392', '24519']","
                €500k                ",€3.50m,['Right-Back'],['Slovakia'],['Left-Back']
12,Julian Eitschberger,/julian-eitschberger/profil/spieler/706617,706617,"Mar 5, 2004 (19)",42,"['/hertha-bsc-u19/transfers/verein/2827/saison_id/2022', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2021', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2019', '/sc-staaken-1919-youth/transfers/verein/59714/saison_id/2017']","['2022', '2021', '2019', '2017']","['44', '2827', '21066', '11844', '59714']","
                €350k                ",€350k,['Right-Back'],['Germany'],"['Centre-Back', 'Right Midfield']"
13,Lucas Tousart,/lucas-tousart/profil/spieler/353948,353948,"Apr 29, 1997 (26)",29,"['/olympique-lyon/transfers/verein/1041/saison_id/2019', '/hertha-bsc/transfers/verein/44/saison_id/2019', '/olympique-lyon/transfers/verein/1041/saison_id/2019', '/valenciennes-fc/transfers/verein/1423/saison_id/2015', '/fc-valenciennes-u19/transfers/verein/12744/saison_id/2014', '/rodez-af/transfers/verein/11273/saison_id/2013']","['2019', '2019', '2019', '2015', '2014', '2013']","['44', '1041', '44', '1041', '1423', '12744', '11273']","
                €9.00m                ",€25.00m,['Defensive Midfield'],['France'],['Central Midfield']
14,Ivan Sunjic,/ivan-sunjic/profil/spieler/226097,226097,"Oct 9, 1996 (26)",34,"['/hertha-bsc/transfers/verein/44/saison_id/2022', '/birmingham-city/transfers/verein/337/saison_id/2022', '/gnk-dinamo-zagreb/transfers/verein/419/saison_id/2019', '/nk-lokomotiva-zagreb/transfers/verein/11194/saison_id/2017', '/gnk-dinamo-zagreb/transfers/verein/419/saison_id/2017', '/nk-lokomotiva-zagreb/transfers/verein/11194/saison_id/2017', '/gnk-dinamo-zagreb-ii/transfers/verein/44796/saison_id/2015', '/gnk-dinamo-zagreb-u19/transfers/verein/9641/saison_id/2014', '/gnk-dinamo-zagreb-u17/transfers/verein/36342/saison_id/2013', '/nk-zagreb-u17/transfers/verein/36357/saison_id/2012', '/nk-zagreb-youth/transfers/verein/36356/saison_id/2011', '/nk-spansko-zagreb/transfers/verein/2811/saison_id/2008']","['2022', '2022', '2019', '2017', '2017', '2017', '2015', '2014', '2013', '2012', '2011', '2008']","['44', '44', '337', '419', '11194', '419', '11194', '44796', '9641', '36342', '36357', '36356', '2811']","
                €1.50m                ",€6.00m,['Defensive Midfield'],['Croatia'],['Central Midfield']
15,Tolga Cigerci,/tolga-cigerci/profil/spieler/94199,94199,"Mar 23, 1992 (31)",6,"['/mke-ankaragucu/transfers/verein/868/saison_id/2022', '/basaksehir-fk/transfers/verein/6890/saison_id/2022', '/fenerbahce/transfers/verein/36/saison_id/2020', '/galatasaray/transfers/verein/141/saison_id/2018', '/hertha-bsc/transfers/verein/44/saison_id/2016', '/vfl-wolfsburg/transfers/verein/82/saison_id/2014', '/hertha-bsc/transfers/verein/44/saison_id/2013', '/vfl-wolfsburg/transfers/verein/82/saison_id/2013', '/borussia-monchengladbach/transfers/verein/18/saison_id/2012', '/vfl-wolfsburg/transfers/verein/82/saison_id/2011', '/vfl-wolfsburg-u19/transfers/verein/5343/saison_id/2010', '/vfl-wolfsburg-u17/transfers/verein/21087/saison_id/2009', '/vfl-wolfsburg-youth/transfers/verein/12821/saison_id/2007']","['2022', '2022', '2020', '2018', '2016', '2014', '2013', '2013', '2012', '2011', '2010', '2009', '2007']","['44', '868', '6890', '36', '141', '44', '82', '44', '82', '18', '82', '5343', '21087', '12821']","
                €700k                ",€4.50m,['Defensive Midfield'],"['Turkey', 'Germany']","['Central Midfield', 'Left Midfield']"
16,Suat Serdar,/suat-serdar/profil/spieler/261905,261905,"Apr 11, 1997 (26)",8,"['/fc-schalke-04/transfers/verein/33/saison_id/2021', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2018', '/1-fsv-mainz-05-u19/transfers/verein/5369/saison_id/2015', '/1-fsv-mainz-05-u17/transfers/verein/21051/saison_id/2014', '/1-fsv-mainz-05-youth/transfers/verein/17588/saison_id/2012', '/hassia-bingen-youth/transfers/verein/39108/saison_id/2008']","['2021', '2018', '2015', '2014', '2012', '2008']","['44', '33', '39', '5369', '21051', '17588', '39108']","
                €4.50m                ",€25.00m,['Central Midfield'],"['Germany', 'Turkey']","['Attacking Midfield', 'Defensive Midfield']"
17,Jean-Paul Boëtius,/jean-paul-boetius/profil/spieler/182574,182574,"Mar 22, 1994 (29)",10,"['/1-fsv-mainz-05/transfers/verein/39/saison_id/2022', '/feyenoord-rotterdam/transfers/verein/234/saison_id/2018', '/fc-basel-1893/transfers/verein/26/saison_id/2017', '/krc-genk/transfers/verein/1184/saison_id/2016', '/fc-basel-1893/transfers/verein/26/saison_id/2016', '/feyenoord-rotterdam/transfers/verein/234/saison_id/2015', '/feyenoord-u19/transfers/verein/2862/saison_id/2012', '/feyenoord-u17/transfers/verein/51654/saison_id/2011']","['2022', '2018', '2017', '2016', '2016', '2015', '2012', '2011']","['44', '39', '234', '26', '1184', '26', '234', '2862', '51654']","
                €1.50m                ",€6.00m,['Attacking Midfield'],"['Netherlands', 'Suriname']","['Left Winger', 'Right Winger']"
18,Kevin-Prince Boateng,/kevin-prince-boateng/profil/spieler/16922,16922,"Mar 6, 1987 (36)",27,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/ac-monza/transfers/verein/2919/saison_id/2021', '/acf-fiorentina/transfers/verein/430/saison_id/2020', '/besiktas-jk/transfers/verein/114/saison_id/2019', '/acf-fiorentina/transfers/verein/430/saison_id/2019', '/us-sassuolo/transfers/verein/6574/saison_id/2019', '/fc-barcelona/transfers/verein/131/saison_id/2018', '/us-sassuolo/transfers/verein/6574/saison_id/2018', '/eintracht-frankfurt/transfers/verein/24/saison_id/2018', '/ud-las-palmas/transfers/verein/472/saison_id/2017', '/ac-milan/transfers/verein/5/saison_id/2016', '/without-club/transfers/verein/515/saison_id/2015', '/fc-schalke-04/transfers/verein/33/saison_id/2015', '/ac-milan/transfers/verein/5/saison_id/2013', '/genoa-cfc/transfers/verein/252/saison_id/2011', '/ac-milan/transfers/verein/5/saison_id/2010', '/genoa-cfc/transfers/verein/252/saison_id/2010', '/portsmouth-fc/transfers/verein/1020/saison_id/2010', '/tottenham-hotspur/transfers/verein/148/saison_id/2009', '/borussia-dortmund/transfers/verein/16/saison_id/2008', '/tottenham-hotspur/transfers/verein/148/saison_id/2008', '/hertha-bsc/transfers/verein/44/saison_id/2007', '/hertha-bsc-ii/transfers/verein/45/saison_id/2005', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2004', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2003', '/reinickendorfer-fuchse-youth/transfers/verein/34328/saison_id/1996', '/hertha-bsc-youth/transfers/verein/11844/saison_id/1995', '/reinickendorfer-fuchse-youth/transfers/verein/34328/saison_id/1994']","['2023', '2021', '2020', '2019', '2019', '2019', '2018', '2018', '2018', '2017', '2016', '2015', '2015', '2013', '2011', '2010', '2010', '2010', '2009', '2008', '2008', '2007', '2005', '2004', '2003', '1996', '1995', '1994']","['44', '44', '2919', '430', '114', '430', '6574', '131', '6574', '24', '472', '5', '515', '33', '5', '252', '5', '252', '1020', '148', '16', '148', '44', '45', '2827', '11844', '34328', '11844', '34328']","
                €700k                ",€23.00m,['Attacking Midfield'],"['Ghana', 'Germany']","['Centre-Forward', 'Central Midfield']"
19,Chidera Ejuke,/chidera-ejuke/profil/spieler/500067,500067,"Jan 2, 1998 (25)",40,"['/hertha-bsc/transfers/verein/44/saison_id/2022', '/cska-moscow/transfers/verein/2410/saison_id/2022', '/sc-heerenveen/transfers/verein/306/saison_id/2020', '/valerenga-fotball/transfers/verein/76/saison_id/2019', '/gombe-united-fc/transfers/verein/16994/saison_id/2016', '/supreme-court-fc/transfers/verein/43499/saison_id/2016']","['2022', '2022', '2020', '2019', '2016', '2016']","['44', '44', '2410', '306', '76', '16994', '43499']","
                €5.50m                ",€9.00m,['Left Winger'],['Nigeria'],"['Right Winger', 'Second Striker']"
20,Dodi Lukébakio,/dodi-lukebakio/profil/spieler/303259,303259,"Sep 24, 1997 (25)",14,"['/vfl-wolfsburg/transfers/verein/82/saison_id/2021', '/hertha-bsc/transfers/verein/44/saison_id/2021', '/watford-fc/transfers/verein/1010/saison_id/2019', '/fortuna-dusseldorf/transfers/verein/38/saison_id/2018', '/watford-fc/transfers/verein/1010/saison_id/2018', '/rsc-charleroi/transfers/verein/172/saison_id/2017', '/rsc-anderlecht/transfers/verein/58/saison_id/2017', '/rsc-charleroi/transfers/verein/172/saison_id/2017', '/rsc-anderlecht/transfers/verein/58/saison_id/2017', '/fc-toulouse/transfers/verein/415/saison_id/2016', '/rsc-anderlecht/transfers/verein/58/saison_id/2016', '/rsca-futures/transfers/verein/30857/saison_id/2015', '/rsc-anderlecht-u19/transfers/verein/3038/saison_id/2014']","['2021', '2021', '2019', '2018', '2018', '2017', '2017', '2017', '2017', '2016', '2016', '2015', '2014']","['44', '82', '44', '1010', '38', '1010', '172', '58', '172', '58', '415', '58', '30857', '3038']","
                €12.00m                ",€21.00m,['Right Winger'],"['Belgium', 'DR Congo']","['Left Winger', 'Centre-Forward']"
21,Marco Richter,/marco-richter/profil/spieler/279009,279009,"Nov 24, 1997 (25)",23,"['/fc-augsburg/transfers/verein/167/saison_id/2021', '/fc-augsburg-ii/transfers/verein/5379/saison_id/2017', '/fc-augsburg-u19/transfers/verein/4780/saison_id/2016', '/fc-augsburg-u17/transfers/verein/29176/saison_id/2014', '/fc-augsburg-youth/transfers/verein/28103/saison_id/2013', '/fc-bayern-munchen-youth/transfers/verein/18936/saison_id/2012', '/sv-ried-1951-youth/transfers/verein/65742/saison_id/2004']","['2021', '2017', '2016', '2014', '2013', '2012', '2004']","['44', '167', '5379', '4780', '29176', '28103', '18936', '65742']","
                €5.00m                ",€10.00m,['Right Winger'],['Germany'],"['Left Winger', 'Second Striker']"
22,Kelian Nsona,/kelian-nsona/profil/spieler/569368,569368,"May 11, 2002 (21)",28,"['/sm-caen/transfers/verein/1162/saison_id/2021', '/sm-caen-u19/transfers/verein/12771/saison_id/2019', '/paris-fc-youth/transfers/verein/83018/saison_id/2017']","['2021', '2019', '2017']","['44', '1162', '12771', '83018']","
                €800k                ",€1.20m,['Right Winger'],"['France', 'DR Congo']",['Left Winger']
23,Jessic Ngankam,/jessic-ngankam/profil/spieler/448177,448177,"Jul 20, 2000 (22)",24,"['/spvgg-greuther-furth/transfers/verein/65/saison_id/2022', '/hertha-bsc/transfers/verein/44/saison_id/2022', '/spvgg-greuther-furth/transfers/verein/65/saison_id/2021', '/hertha-bsc/transfers/verein/44/saison_id/2021', '/hertha-bsc-ii/transfers/verein/45/saison_id/2020', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2019', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2017', '/hertha-bsc-u16/transfers/verein/42338/saison_id/2016', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2015', '/reinickendorfer-fuchse-youth/transfers/verein/34328/saison_id/2006']","['2022', '2022', '2021', '2021', '2020', '2019', '2017', '2016', '2015', '2006']","['44', '65', '44', '65', '44', '45', '2827', '21066', '42338', '11844', '34328']","
                €5.00m                ",€5.00m,['Centre-Forward'],"['Germany', 'Cameroon']","['Right Winger', 'Left Winger']"
24,Wilfried Kanga,/wilfried-kanga/profil/spieler/395523,395523,"Feb 21, 1998 (25)",18,"['/bsc-young-boys/transfers/verein/452/saison_id/2022', '/kayserispor/transfers/verein/3205/saison_id/2021', '/angers-sco/transfers/verein/1420/saison_id/2020', '/paris-saint-germain-u19/transfers/verein/6326/saison_id/2017', '/us-creteil-lusitanos/transfers/verein/2067/saison_id/2016', '/paris-saint-germain-u19/transfers/verein/6326/saison_id/2016', '/fc-paris-saint-germain-u17/transfers/verein/54295/saison_id/2015', '/fc-paris-saint-germain-youth/transfers/verein/82891/saison_id/2013']","['2022', '2021', '2020', '2017', '2016', '2016', '2015', '2013']","['44', '452', '3205', '1420', '6326', '2067', '6326', '54295', '82891']","
                €3.00m                ",€4.00m,['Centre-Forward'],"[""Cote d'Ivoire"", 'France']","['Left Winger', 'Right Winger']"
25,Stevan Jovetic,/stevan-jovetic/profil/spieler/46104,46104,"Nov 2, 1989 (33)",19,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/as-monaco/transfers/verein/162/saison_id/2021', '/inter-milan/transfers/verein/46/saison_id/2017', '/sevilla-fc/transfers/verein/368/saison_id/2016', '/inter-milan/transfers/verein/46/saison_id/2016', '/manchester-city/transfers/verein/281/saison_id/2016', '/inter-milan/transfers/verein/46/saison_id/2016', '/manchester-city/transfers/verein/281/saison_id/2015', '/acf-fiorentina/transfers/verein/430/saison_id/2013', '/fk-partizan-belgrade/transfers/verein/669/saison_id/2008', '/fk-partizan-belgrade-u19/transfers/verein/12373/saison_id/2006', '/fk-partizan-belgrade-u17/transfers/verein/66822/saison_id/2005', '/fk-partizan-belgrade-u15/transfers/verein/67265/saison_id/2004', '/ofk-titograd-u19/transfers/verein/56498/saison_id/2003']","['2023', '2021', '2017', '2016', '2016', '2016', '2016', '2015', '2013', '2008', '2006', '2005', '2004', '2003']","['44', '44', '162', '46', '368', '46', '281', '46', '281', '430', '669', '12373', '66822', '67265', '56498']","
                €1.50m                ",€30.00m,['Centre-Forward'],"['Montenegro', 'Serbia']","['Second Striker', 'Left Winger']"
26,Florian Niederlechner,/florian-niederlechner/profil/spieler/152963,152963,"Oct 24, 1990 (32)",7,"['/fc-augsburg/transfers/verein/167/saison_id/2022', '/sc-freiburg/transfers/verein/60/saison_id/2019', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2017', '/sc-freiburg/transfers/verein/60/saison_id/2016', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2015', '/1-fc-heidenheim-1846/transfers/verein/2036/saison_id/2015', '/spvgg-unterhaching/transfers/verein/66/saison_id/2012', '/fc-ismaning/transfers/verein/1216/saison_id/2011', '/fc-falke-markt-schwaben/transfers/verein/2192/saison_id/2010', '/tsv-ebersberg-u19/transfers/verein/23731/saison_id/2008', '/tsv-ebersberg-u17/transfers/verein/52525/saison_id/2007', '/tsv-1860-munchen-u17/transfers/verein/21083/saison_id/2006', '/tsv-1860-munchen-youth/transfers/verein/18929/saison_id/2005', '/sv-hohenlinden-youth/transfers/verein/52528/saison_id/2002']","['2022', '2019', '2017', '2016', '2015', '2015', '2012', '2011', '2010', '2008', '2007', '2006', '2005', '2002']","['44', '167', '60', '39', '60', '39', '2036', '66', '1216', '2192', '23731', '52525', '21083', '18929', '52528']","
                €800k                ",€10.00m,['Centre-Forward'],['Germany'],"['Second Striker', 'Right Winger']"
27,Derry Scherhant,/derry-scherhant/profil/spieler/820957,820957,"Nov 10, 2002 (20)",39,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2022', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2021', '/berliner-sc-u19/transfers/verein/32610/saison_id/2020', '/tennis-borussia-berlin-u19/transfers/verein/4677/saison_id/2020', '/fc-viktoria-1889-berlin-u17/transfers/verein/49611/saison_id/2019']","['2022', '2021', '2020', '2020', '2019']","['44', '45', '2827', '32610', '4677', '49611']","
                €700k                ",€700k,['Centre-Forward'],['Germany'],['Left Winger']
28,Ibrahim Maza,/ibrahim-maza/profil/spieler/905011,905011,"Nov 24, 2005 (17)",30,"['/hertha-bsc-u17/transfers/verein/21066/saison_id/2022', '/hertha-bsc-u16/transfers/verein/42338/saison_id/2021', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2020', '/reinickendorfer-fuchse-youth/transfers/verein/34328/saison_id/2018']","['2022', '2021', '2020', '2018']","['44', '21066', '42338', '11844', '34328']","
                €600k                ",€600k,['Centre-Forward'],"['Germany', 'Algeria']","['Attacking Midfield', 'Left Winger']"
